"ct","med","ciL","ciU","group"
1,2.24326993412424e-47,1.58157746121732e-57,5.79486035297776e-39,"pI"
2,5.94221042869344e-28,8.78612823029788e-34,4.31458083138454e-23,"pI"
3,3.97017034745659e-19,5.37468989624898e-23,6.97893543169996e-16,"pI"
4,5.72215864128007e-14,1.07597953872218e-16,1.14856707843301e-11,"pI"
5,1.39427084930943e-10,1.44337111064163e-12,6.56017500743738e-09,"pI"
6,3.35242654698767e-08,1.14982121151352e-09,5.65553911376223e-07,"pI"
7,1.85955783655815e-06,1.52194466472518e-07,1.46572114072916e-05,"pI"
8,3.86219905608584e-05,6.02550005705656e-06,0.000175439073463603,"pI"
9,0.000397288520525787,0.00010182984083085,0.00119424133138625,"pI"
10,0.0024355887844196,0.000922634700470822,0.00542123726418926,"pI"
11,0.0101562845336637,0.00514369985769349,0.0177547788879093,"pI"
12,0.0313593978580237,0.0197274236300492,0.0458530356564964,"pI"
13,0.0761690830042107,0.0564471984584927,0.0971065514550115,"pI"
14,0.152667889351859,0.12773708043044,0.177177386851628,"pI"
15,0.262609772766521,0.23699420219844,0.288155992330359,"pI"
16,0.397776291872294,0.36615586398782,0.431928340731747,"pI"
17,0.543316792486832,0.496575631521087,0.598329069860541,"pI"
18,0.680440964287655,0.616875848733895,0.760744548871745,"pI"
19,0.794459382340428,0.717650537016267,0.888927016458064,"pI"
20,0.873704801210384,0.791683984497538,0.969132434228821,"pI"
21,0.913205183099733,0.837034387420497,0.995010926338976,"pI"
22,0.914207011705111,0.852746234854144,0.976320696645422,"pI"
23,0.88210952959392,0.836173703697969,0.927980302409592,"pI"
24,0.825934933510986,0.776482766533397,0.869378688504258,"pI"
25,0.753915736680887,0.680696466744477,0.80878698513697,"pI"
26,0.67228709706769,0.575020363654987,0.746299871824354,"pI"
27,0.588046098661552,0.473426687696579,0.679451555128589,"pI"
28,0.505506860229482,0.380889821646624,0.610799171460566,"pI"
29,0.427196117556354,0.30098815116538,0.543617194653278,"pI"
30,0.356637701639553,0.233870210795404,0.478246073423009,"pI"
31,0.294120132896894,0.179277172749536,0.417997554841923,"pI"
32,0.239891063206373,0.134908573751149,0.360455718326796,"pI"
33,0.194113669880709,0.10057093097177,0.30861702779877,"pI"
34,0.155444526904076,0.0741222231248855,0.263336265957628,"pI"
35,0.123574415246475,0.0540685003650944,0.222735611486702,"pI"
36,0.0974858629689477,0.0391633305754164,0.188175419142922,"pI"
37,0.0765230648389122,0.0281256609183487,0.157666995151986,"pI"
38,0.059674939170983,0.0200025935467409,0.13136350019765,"pI"
39,0.0463354219953187,0.0141641678474771,0.108691151380069,"pI"
40,0.0358150752162081,0.00994792322156044,0.0896621764552678,"pI"
41,0,0,0,"pI"
42,0,0,0,"pI"
43,0,0,0,"pI"
44,0,0,0,"pI"
45,0,0,0,"pI"
1,0,0,0,"pEnv"
2,1.42058563758925e-272,1.18458155923098e-307,4.2764909060158e-243,"pEnv"
3,4.05127860885401e-203,2.53541146283841e-229,4.30766963231359e-181,"pEnv"
4,5.02695773765273e-160,1.01344548641457e-180,1.36272326876535e-142,"pEnv"
