"covar","label","ref","n","rr","rrL","rrU"
"sex","female","female",1061,1,1,1
"sex","male","female",1195,1.01058495527876,0.978723108619067,1.03792290365801
"sample_type","lesion","lesion",1823,1,1,1
"sample_type","missing","lesion",249,1.3380620678792,1.29052707276903,1.4057939963785
"sample_type","oropharyngeal","lesion",184,1.44747928945786,1.32179584308167,1.55344489538364
"age_group","0-4","20-29",463,2.54581755238359,2.46482391978344,2.62946221015477
"age_group","5-9","20-29",221,2.89666701272658,2.71622867436641,3.02964142271871
"age_group","10-14","20-29",186,2.72334394216602,2.43063495958581,2.98219526215785
"age_group","15-19","20-29",210,1.93705617747387,1.87063542589878,2.01007435177323
"age_group","20-29","20-29",695,1,1,1
"age_group","30-39","20-29",343,0.89986661612077,0.868670639236823,0.928802708528145
"age_group","40+","20-29",138,1.43957181588361,1.36684944567695,1.50294282547485
"sex_contact","missing","no",888,0.611838380831174,0.590030856172457,0.62954992315338
"sex_contact","no","no",1085,1,1,1
"sex_contact","yes","no",283,0.216945252415911,0.209367566767811,0.225833895694986
"recent_vacc","missing","no",272,1.55931505407194,1.49123303756259,1.6653398079998
"recent_vacc","no","no",1936,1,1,1
"recent_vacc","yes","no",48,1.51625823757232,1.27331540772149,1.63693502627642
"hiv","negative","negative",2121,1,1,1
"hiv","positive","negative",23,0.618650738129848,0.545036556000054,0.68094548924685
"hiv","missing","negative",112,1.27869768194692,1.20965457750589,1.3853044561981
"lesions_anogen","missing","no",80,0.969527841058784,0.903370079376333,1.05528042787669
"lesions_anogen","no","no",574,1,1,1
"lesions_anogen","yes","no",1602,0.602699312076626,0.580315913628561,0.632507661011706
"any_lymph","missing","no",89,0.710377655772151,0.667012615476222,0.755018422510759
"any_lymph","no","no",731,1,1,1
"any_lymph","yes","no",1436,0.749563507187047,0.725213552083535,0.78068107821833
"lesions_palmsole","missing","no",35,1.0287162993227,0.861300280763072,1.15558833703862
"lesions_palmsole","no","no",1202,1,1,1
"lesions_palmsole","yes","no",1019,0.706243486616314,0.68862377649615,0.730109308192372
