"t","mu_mean","mu_lo","mu_hi","pred_lo","pred_hi"
0,24.2631098070771,21.7700576532767,27.1704578704458,18.8199869556909,31.3770417229683
0.5,23.8899490296452,21.7804784067302,26.3187980243117,18.4834370752524,31.1093414567811
1,23.5446182852638,21.7547719341296,25.5970380483678,18.2279312773718,30.2353730167499
1.5,23.2258792978737,21.7090286250593,24.9567957319059,18.0703396822196,30.0011394465617
2,22.9325748149605,21.6384588645635,24.3971563732518,17.8445835951779,29.3637642201435
2.5,22.6636228541448,21.5570104173004,23.9458380079689,17.6250425110599,29.0028106465142
3,22.4180112736542,21.4599727208859,23.5168312848224,17.5495013475596,28.8145578677376
3.5,22.1947926393792,21.3395246340267,23.155502786976,17.1659013429374,28.5339221001231
4,21.9930793626317,21.2331214707982,22.8629829553863,17.1954391216942,28.3816255793845
4.5,21.8120390840716,21.1042092897296,22.6130426678081,16.89514258522,27.7625985661356
5,21.6508902805583,20.9813569754388,22.3821196347056,17.0066706265543,27.7786751080079
5.5,21.5088980729326,20.8719603529912,22.2012987543799,16.7352965173612,27.7562212774551
6,21.38537021392,20.767857897354,22.0462359038452,16.681718599695,27.4776545269557
6.5,21.2796532365162,20.6798653528062,21.92521513076,16.558437682445,27.2990569036436
7,21.1911287443313,20.6028227281639,21.822362101471,16.5112995364324,27.146111579551
7.5,21.119209826483,20.5370159352472,21.7431150302112,16.5213393190143,26.8656024878326
8,21.0633375807013,20.4828549295317,21.6835240329715,16.3247081267446,26.982659525456
8.5,21.022977729406,20.4433487708733,21.6400579485724,16.2836965438698,26.9290165696809
9,20.9976173146028,20.4193273622147,21.6205446383271,16.4187306759063,27.0313503806137
9.5,20.9867614585424,20.4014646023511,21.6193837363236,16.3663711739399,26.7250932629317
10,20.9899301782302,20.3896818103293,21.637921358066,16.2750770740801,26.9400271771471
10.5,21.0066552430412,20.4049998536309,21.663032891211,16.3302915174618,26.8316325625425
11,21.0364770659239,20.4148742883894,21.7070914873998,16.4111827808085,26.9715092886155
11.5,21.0789416199632,20.4442727236697,21.7740511260579,16.45651095649,26.9282533915761
12,21.1335973734402,20.4742272223442,21.8548489198768,16.5348189002695,27.1445776860915
12.5,21.1999922379853,20.5176636128405,21.9494498305337,16.5864857958687,27.2736290484848
13,21.2776705259718,20.566104729556,22.0598174702607,16.6440155475204,27.2690766671039
13.5,21.3661699149769,20.6300834810291,22.1884055326554,16.654930303652,27.6487317515705
14,21.4650184189264,20.7026411284774,22.3263067988134,16.6548593509454,27.3924949128573
14.5,21.5737313674672,20.7834970858791,22.4490678209772,16.9101924285258,27.8063205354595
15,21.6918083971931,20.8558758152984,22.6150000663718,16.9722543290336,27.947786480653
15.5,21.8187304605566,20.9422334994063,22.779314542279,17.0630328943967,28.1749723531874
16,21.9539568606876,21.0271477548694,22.9611015096091,16.8665118321054,27.9939262446217
16.5,22.096922322856,21.1164997400432,23.158875411541,17.3138989524802,28.2965800658853
17,22.2470341160103,21.2069346777522,23.3744299650747,17.2335072541275,28.5789911667635
17.5,22.4036692406376,21.2931931174925,23.6252141977844,17.434781787128,28.7773866103367
18,22.5661717021635,21.3907416035659,23.875183850124,17.5636792508809,29.0569424058128
18.5,22.7338498921964,21.4637028190252,24.1395660735672,17.6111424662853,29.234179131428
19,22.9059741030813,21.5230589160229,24.4488217392613,17.7388810180219,29.3415085770624
19.5,23.0817742045067,21.5799251722246,24.7347958747264,17.9791773571176,29.7320131668695
20,23.2604375141502,21.6374087951967,25.0642258539701,18.1426265150425,30.1133506736668
20.5,23.4411068976541,21.6732470910549,25.4084193156831,18.1157674941384,30.2798680105051
21,23.6228791363806,21.7010640099039,25.7296611184333,18.2665780871715,30.4782325657529
21.5,23.8048036044999,21.7183996146854,26.0852440038094,18.4272251171798,30.8409566934277
22,23.9858812998089,21.6798467618857,26.464441221261,18.5744529787048,30.9127859272829
22.5,24.1650642752699,21.612873405604,26.8069800511751,18.8488133521687,31.3190011341311
23,24.3412555204632,21.5322827230647,27.2256063201872,18.7226450650042,31.3893977962285
23.5,24.5133093438837,21.4226091238521,27.6558492492231,18.9540612723276,31.9684488247855
24,24.6800323081408,21.2828225297762,28.0754178755995,18.9768501443339,32.1335538318978
24.5,24.8401847705783,21.1005179647355,28.5423508646261,18.9489599384276,32.4058452848151
25,24.9924830814232,20.894003683635,29.0289711986862,19.0814434341828,32.9313610769553
25.5,25.1356024902367,20.6319524422529,29.5802905368016,19.0345421576016,33.0760416844538
26,25.268180809013,20.2773379302349,30.0699705998793,18.9898177587949,33.5209684301338
26.5,25.3888228766088,19.9302273326732,30.6107641705905,19.0516671181293,33.7780504631796
27,25.4961058642273,19.4903386073733,31.1574109783719,19.0771733497261,34.1800024330016
27.5,25.5885854552194,18.9919960598057,31.7856673511906,19.0127891737315,34.7126502391582
28,25.6648029244979,18.4931068707234,32.4908380016839,18.684210320421,34.9749642777442
28.5,25.7232931332316,17.9155353923642,33.2413688060169,18.4083621039654,35.7848442584552
29,25.7625934431758,17.2803270376337,34.0814094824485,18.2125948022638,35.8414269087641
29.5,25.78125354198,16.5907537556695,34.9937985403345,17.6663667794518,36.44489622671
30,25.77784615609,15.8463684094264,36.0931095435222,17.3812557857949,36.8125452486415
