"var","group","med","ciL","ciU"
"Sex","female",-0.01691083,-0.029462268075,-0.00430073002750001
"Sex","male",0.01691083,0.0043007300275,0.029462268075
"Sample type","lesion",-0.0674435595,-0.09509004775,-0.0386433658
"Sample type","missing",0.00435446305,-0.0307176124,0.0383730279
"Sample type","oropharyngeal",0.062994984,0.021748099275,0.1054021175
"Age","0-4",-0.0060643425,-0.040399269975,0.028074518625
"Age","5-9",0.043046064,-0.008229651855,0.1011052695
"Age","10-14",0.126368095,0.056566723475,0.192134042
"Age","15-19",-0.042101883,-0.08096983485,-0.00568921475750002
"Age","20-29",-0.0506840265,-0.080907447925,-0.02145312965
"Age","30-39",-0.0589804115,-0.0938305348,-0.024124765275
"Age","40+",-0.0114475915,-0.055215457275,0.029700137725
"Sexual contact","missing",0.0079824401,-0.0048281839775,0.027071748275
"Sexual contact","no",0.000311612595,-0.01649971005,0.0190496893
"Sexual contact","yes",-0.0085463889,-0.03032937535,0.00543356982999999
"Vaccinated","missing",-0.0457093925,-0.097585132325,-0.00272464090000005
"Vaccinated","no",0.0080163516,-0.03036774275,0.040817082825
"Vaccinated","yes",0.03695327,-0.02055629485,0.11642116575
"HIV","negative",0.0479317415,0.0062417164475,0.08966883415
"HIV","positive",-0.00375679,-0.0664707416,0.05978520895
"HIV","missing",-0.043483743,-0.101680808,0.00678684169499998
"Genital/perianal lesions","missing",-0.016480284,-0.0795995134,0.035116122
"Genital/perianal lesions","no",0.03582597,0.0017989925925,0.0762026304
"Genital/perianal lesions","yes",-0.017591137,-0.04872093455,0.014035188925
"Lymphadenopathy","missing",-0.087271192,-0.132707297,-0.042721149625
"Lymphadenopathy","no",0.0877847725,0.059180236025,0.11748841825
"Lymphadenopathy","yes",-0.00073168717,-0.02611156645,0.02469425665
"Palm/sole lesions","missing",0.057327862,-0.0181178039,0.14130600425
"Palm/sole lesions","no",0.0158365595,-0.0280483236,0.0549425253
"Palm/sole lesions","yes",-0.0731317275,-0.11780781075,-0.03340720035
