"var","med","ciL","ciU","covar"
"female",0.643602228357605,0.616902624542163,0.676350569325304,"Sex"
"male",0.640214445030977,0.606114439786387,0.6794661341682,"Sex"
"lesion",0.66626171229898,0.636811074448384,0.701734834777187,"Sample type"
"missing",0.553224722773921,0.524442747360074,0.589186535695334,"Sample type"
"oropharyngeal",0.517959134206042,0.464261827595419,0.579633185426693,"Sample type"
"0-4",0.476839862650116,0.437084355453615,0.525276777896409,"Age"
"5-9",0.405026827012389,0.349440080073091,0.478050673586493,"Age"
"10-14",0.441256730125748,0.353213455064269,0.534927026589776,"Age"
"15-19",0.601607152565868,0.573733754427543,0.638597909586113,"Age"
"20-29",0.794672483846782,0.77883087453319,0.813086389713919,"Age"
"30-39",0.815282005365605,0.800023017437661,0.833286852131176,"Age"
"40+",0.704478389659475,0.67878143424738,0.734440403681834,"Age"
"missing",0.707626476401148,0.679184995522349,0.740841880284279,"Sexual contact"
"no",0.52142678207956,0.482953272990702,0.568042228092747,"Sexual contact"
"yes",0.896304989381164,0.887184879504952,0.90609226049118,"Sexual contact"
"missing",0.481889959593247,0.452802916132845,0.514413139493964,"Vaccinated"
"no",0.667812467791786,0.637310755446214,0.703562658242781,"Vaccinated"
"yes",0.496888894080991,0.438321480230379,0.605413772523193,"Vaccinated"
"negative",0.645295025524569,0.614018604729936,0.682468105557947,"HIV"
"positive",0.780947024162578,0.748894107718242,0.817969573642832,"HIV"
"missing",0.546265868385215,0.528537728374739,0.564563811179794,"HIV"
"missing",0.515272085177934,0.483513271267896,0.556180461200737,"Genital/perianal lesions"
"no",0.500505560625797,0.447808976436239,0.560219354893687,"Genital/perianal lesions"
"yes",0.698655775475571,0.675362929544647,0.727275305446458,"Genital/perianal lesions"
"missing",0.692916992868496,0.665632704178383,0.729076311760335,"Lymphadenopathy"
"no",0.568341033907,0.524843088396516,0.61681289607432,"Lymphadenopathy"
"yes",0.6759500467122,0.651661129340219,0.706480408318048,"Lymphadenopathy"
"missing",0.575635728936069,0.507211785473931,0.664210135923876,"Palm/sole lesions"
"no",0.587218719635671,0.549463801688097,0.631282572770938,"Palm/sole lesions"
"yes",0.708397716109815,0.686908056137073,0.734320360338644,"Palm/sole lesions"
